neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,year,month,day
1,36,0,31,0.10710710710710711,0,0.041570438799076216,0,365,2019,8,12
1,25,1,131,0.013013013013013013,0,0.041570438799076216,0,365,2019,8,12
1,39,1,300,0.001001001001001001,2,0.013856812933025403,2,349,2019,7,31
1,26,0,60,0.18218218218218218,0,0.041570438799076216,0,365,2019,8,12
1,21,0,67,0.0890890890890891,1,0.012317167051578136,3,356,2019,3,2
1,29,0,165,0.001001001001001001,3,0.029253271747498075,1,223,2019,8,2
0,12,0,82,0.013013013013013013,0,0.041570438799076216,0,365,2019,8,12
1,36,0,89,0.001001001001001001,3,0.08391070053887606,0,342,2019,8,20
1,28,0,90,0.0,1,0.005388760585065436,1,233,2018,1,2
1,36,0,131,0.0,0,0.07621247113163972,0,0,2019,8,2
1,21,0,58,0.0890890890890891,0,0.041570438799076216,3,355,2019,8,12
1,37,1,194,0.013013013013013013,3,0.013086989992301769,0,301,2018,12,8
1,21,0,56,0.01701701701701702,1,0.005388760585065436,3,356,2019,5,31
1,32,0,85,0.002002002002002002,3,0.029253271747498075,2,334,2019,7,31
1,27,0,40,0.18218218218218218,0,0.041570438799076216,0,88,2019,8,12
1,25,0,33,0.17917917917917917,0,0.0007698229407236335,0,364,2014,7,17
1,31,1,169,0.002002002002002002,3,0.020785219399538108,0,332,2019,7,22
0,7,0,60,0.18218218218218218,0,0.041570438799076216,0,365,2019,8,12
1,35,1,160,0.006006006006006006,3,0.026173979984603538,2,365,2019,8,5
1,21,0,50,0.005005005005005005,2,0.006158583525789068,0,54,2017,10,20
1,22,1,219,0.002002002002002002,3,0.04311008468052348,0,311,2018,9,20
1,31,0,40,0.01701701701701702,0,0.0015396458814472668,3,353,2017,3,25
1,30,0,221,0.0890890890890891,0,0.041570438799076216,0,0,2019,8,12
1,20,1,140,0.004004004004004004,1,0.003079291762894534,0,0,2016,12,31
1,38,1,240,0.004004004004004004,2,0.008468052347959968,0,0,2015,8,23
1,36,0,360,0.02902902902902903,1,0.0015396458814472668,1,173,2014,7,19
0,7,1,118,0.009009009009009009,0,0.041570438799076216,0,294,2019,8,12
1,20,0,60,0.002002002002002002,3,0.05850654349499615,0,345,2019,8,6
1,36,0,381,0.004004004004004004,3,0.013086989992301769,1,180,2016,9,11
1,30,1,140,0.0,3,0.11162432640492687,2,327,2019,7,15
1,30,1,140,0.001001001001001001,3,0.11855273287143957,2,323,2019,8,8
0,7,0,64,0.003003003003003003,3,0.03156274056966897,0,23,2015,3,15
0,6,0,69,0.0,2,0.010007698229407237,1,364,2018,11,18
1,21,1,250,0.002002002002002002,3,0.1832178598922248,0,29,2019,8,18
1,25,0,99,0.0,2,0.013086989992301769,2,358,2018,8,7
1,36,1,89,0.001001001001001001,2,0.013086989992301769,0,0,2017,8,4
1,36,0,281,0.002002002002002002,3,0.026943802925327172,1,180,2016,9,30
